Tarih.2020,VefatSayisi2020,VefatSayisi2019,VefatSayisi2018
10.05.2020,8,3,10
11.05.2020,8,4,10
12.05.2020,6,7,7
13.05.2020,6,8,10
14.05.2020,9,7,4
15.05.2020,11,7,2
16.05.2020,3,6,7
17.05.2020,12,6,7
18.05.2020,1,10,10
19.05.2020,6,7,2
20.05.2020,4,7,9
21.05.2020,10,12,12
22.05.2020,11,10,6
23.05.2020,6,8,6
24.05.2020,8,6,7
25.05.2020,8,4,4
26.05.2020,6,5,8
27.05.2020,9,7,4
28.05.2020,7,6,12
29.05.2020,6,6,8
30.05.2020,2,13,8
31.05.2020,8,14,10
01.06.2020,8,7,3
02.06.2020,10,8,8
03.06.2020,4,11,5
04.06.2020,6,4,7
05.06.2020,6,7,5
06.06.2020,7,6,9
07.06.2020,4,4,6
08.06.2020,9,11,12
09.06.2020,8,3,6
10.06.2020,6,12,8
11.06.2020,3,10,7
12.06.2020,6,8,0
13.06.2020,2,6,11
14.06.2020,10,7,6
15.06.2020,5,5,5
16.06.2020,8,4,3
17.06.2020,9,12,8
18.06.2020,9,3,10
19.06.2020,10,9,6
20.06.2020,7,10,6
21.06.2020,8,7,5
22.06.2020,7,7,6
23.06.2020,6,10,5
24.06.2020,7,9,9
25.06.2020,7,10,6
26.06.2020,5,7,3
27.06.2020,7,5,10
28.06.2020,8,11,12
29.06.2020,12,7,9
30.06.2020,4,4,10
01.07.2020,3,9,10
02.07.2020,11,6,8
03.07.2020,13,2,6
04.07.2020,4,13,10
05.07.2020,7,7,10
06.07.2020,6,8,5
07.07.2020,14,6,6
08.07.2020,12,5,4
09.07.2020,9,7,9
10.07.2020,10,8,8
11.07.2020,10,4,1
12.07.2020,5,10,7
13.07.2020,4,5,9
14.07.2020,8,7,6
15.07.2020,3,6,4
16.07.2020,7,7,7
17.07.2020,10,3,3
18.07.2020,7,6,11
19.07.2020,9,8,10
20.07.2020,7,5,7
21.07.2020,9,2,9
22.07.2020,7,9,8
23.07.2020,8,11,1
24.07.2020,7,11,10
25.07.2020,10,5,6
26.07.2020,5,6,7
27.07.2020,4,4,6
28.07.2020,9,8,6
29.07.2020,9,8,7
30.07.2020,8,6,7
31.07.2020,6,5,9
01.08.2020,12,7,9
02.08.2020,8,13,11
03.08.2020,14,7,3
04.08.2020,7,7,9
05.08.2020,15,10,13
06.08.2020,8,6,4
07.08.2020,6,5,6
08.08.2020,9,9,3
09.08.2020,13,9,4
10.08.2020,4,5,10
11.08.2020,5,4,7
12.08.2020,9,8,7
13.08.2020,10,10,4
14.08.2020,8,10,5
15.08.2020,10,9,7
16.08.2020,4,10,4
17.08.2020,8,6,7
18.08.2020,10,9,9
19.08.2020,10,3,4
20.08.2020,8,9,7
21.08.2020,15,4,8
22.08.2020,11,5,5
23.08.2020,8,3,5
24.08.2020,7,8,7
25.08.2020,15,7,5
26.08.2020,9,5,5
27.08.2020,19,2,7
28.08.2020,12,7,6
29.08.2020,13,9,9
30.08.2020,14,5,9
31.08.2020,12,4,11
01.09.2020,23,12,4
02.09.2020,18,3,5
03.09.2020,18,5,3
04.09.2020,14,5,5
05.09.2020,15,5,3
06.09.2020,22,4,9
07.09.2020,25,8,7
08.09.2020,18,10,10
09.09.2020,16,9,3
10.09.2020,20,12,8
11.09.2020,12,10,3
12.09.2020,18,7,9
13.09.2020,20,7,7
13.09.2020,20,7,7
14.09.2020,23,8,5
15.09.2020,19,11,7
16.09.2020,25,5,8
17.09.2020,19,12,10
18.09.2020,29,11,12
19.09.2020,23,5,8
20.09.2020,8,4,5
21.09.2020,16,4,7
22.09.2020,30,4,10
23.09.2020,18,7,10
24.09.2020,14,6,5
25.09.2020,15,8,8
26.09.2020,18,5,4
27.09.2020,27,3,2
28.09.2020,16,3,10
29.09.2020,27,6,6
30.09.2020,15,7,4
01.10.2020,20,14,7
02.10.2020,15,6,8
03.10.2020,12,11,10
04.10.2020,24,3,8
05.10.2020,18,7,3
06.10.2020,9,12,3
07.10.2020,18,4,10
08.10.2020,12,3,7
09.10.2020,12,8,7
04.10.2020,24,3,8
05.10.2020,18,7,3
06.10.2020,9,12,3
07.10.2020,18,4,10
08.10.2020,12,3,7
09.10.2020,12,8,7
10.10.2020,15,7,5
11.10.2020,18,7,7
12.10.2020,18,7,5
13.10.2020,17,10,5
14.10.2020,11,6,8
15.10.2020,11,6,2
16.10.2020,14,10,5
17.10.2020,16,9,10
18.10.2020,11,6,11
19.10.2020,6,9,9
20.10.2020,12,9,13
21.10.2020,8,7,4
22.10.2020,14,10,4
23.10.2020,18,4,8
24.10.2020,11,5,5
25.10.2020,14,6,11
26.10.2020,9,8,3
27.10.2020,8,5,4
28.10.2020,9,11,4
29.10.2020,8,5,5
30.10.2020,11,11,6
31.10.2020,13,4,6
01.11.2020,11,4,7
02.11.2020,13,5,8
03.11.2020,13,6,8
04.11.2020,12,7,5
05.11.2020,9,3,6
06.11.2020,14,4,6
07.11.2020,12,10,11
08.11.2020,15,10,7
09.11.2020,9,5,12
10.11.2020,8,11,4
11.11.2020,13,2,5
12.11.2020,17,3,5
13.11.2020,10,5,3
14.11.2020,9,10,4
13.11.2020,10,5,3
14.11.2020,10,10,4
15.11.2020,7,14,10
16.11.2020,8,3,5
17.11.2020,17,5,6
18.11.2020,16,6,3
19.11.2020,5,4,4
20.11.2020,17,8,11
21.11.2020,6,7,4
22.11.2020,19,6,12
23.11.2020,12,5,8
24.11.2020,12,12,8
25.11.2020,11,6,7
26.11.2020,3,9,5
27.11.2020,12,6,4
28.11.2020,10,6,7
29.11.2020,11,5,10
30.11.2020,9,5,7
01.12.2020,9,6,14
02.12.2020,13,8,5
03.12.2020,14,8,12
04.12.2020,11,7,11
05.12.2020,11,15,8
06.12.2020,8,6,7
07.12.2020,17,10,9
08.12.2020,18,7,6
09.12.2020,12,9,6
10.12.2020,16,7,7
11.12.2020,11,8,12
12.12.2020,11,5,9
13.12.2020,10,12,9
14.12.2020,17,12,15
15.12.2020,16,6,10
16.12.2020,3,3,14
17.12.2020,6,8,13
18.12.2020,15,7,7
17.12.2020,6,8,13
18.12.2020,15,7,7
19.12.2020,18,10,3
20.12.2020,9,7,12
21.12.2020,20,10,8
22.12.2020,12,6,10
23.12.2020,9,8,8
24.12.2020,12,10,5
25.12.2020,11,10,11
26.12.2020,8,7,19
27.12.2020,7,11,8
28.12.2020,11,10,6
29.12.2020,16,10,10
30.12.2020,7,7,11
31.12.2020,7,14,9
01.01.2021,11,12,14
02.01.2021,9,8,7
03.01.2021,8,11,10
04.01.2021,8,13,7
05.01.2021,10,14,9
06.01.2021,13,13,7
07.01.2021,15,6,10
08.01.2021,10,8,10
09.01.2021,7,10,9
10.01.2021,6,10,6
11.01.2021,4,11,10
12.01.2021,13,11,8
13.01.2021,4,10,11
14.01.2021,8,6,9
15.01.2021,12,8,12
16.01.2021,5,7,6
17.01.2021,8,6,15
18.01.2021,8,10,9
19.01.2021,9,8,8
20.01.2021,10,6,5
21.01.2021,10,3,12
22.01.2021,8,6,13
